event_id,event_name,event_date,event_type,event_source,event_selection_note,event_year
3299780e-112c-4fac-a710-24bf48a566e5,1979 general election,1979-05-03,election_formation,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",1979
derived-ordinary-001,Derived ordinary reshuffle cluster (1981-01-05),1981-01-05,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,1981
derived-ordinary-002,Derived ordinary reshuffle cluster (1981-09-14),1981-09-14,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 9.,1981
derived-ordinary-003,Derived ordinary reshuffle cluster (1982-04-05),1982-04-05,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,1982
74cc5fe5-bff5-4908-ad43-fae6885a4ba7,1983 general election,1983-06-09,election_formation,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",1983
derived-ordinary-004,Derived ordinary reshuffle cluster (1983-10-14),1983-10-14,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,1983
derived-ordinary-005,Derived ordinary reshuffle cluster (1985-09-02),1985-09-02,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 6.,1985
derived-ordinary-006,Derived ordinary reshuffle cluster (1986-05-21),1986-05-21,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,1986
0c4019b7-f34c-49e8-b3eb-f40f0eb49254,1987 general election,1987-06-11,election_formation,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",1987
derived-ordinary-007,Derived ordinary reshuffle cluster (1988-07-25),1988-07-25,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,1988
derived-ordinary-008,Derived ordinary reshuffle cluster (1989-07-24),1989-07-24,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 11.,1989
derived-ordinary-009,Derived ordinary reshuffle cluster (1989-10-26),1989-10-26,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,1989
derived-ordinary-010,Derived ordinary reshuffle cluster (1990-11-01),1990-11-01,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,1990
b93f0142-d106-4703-b11f-cd3853d5fb66,Major government formation complete,1990-11-28,new_pm_reshuffle,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",1990
17a9d705-0353-483c-93d1-8fcef8de4e35,1992 general election,1992-04-09,election_formation,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",1992
derived-ordinary-011,Derived ordinary reshuffle cluster (1993-05-27),1993-05-27,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 6.,1993
derived-ordinary-012,Derived ordinary reshuffle cluster (1994-07-20),1994-07-20,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 7.,1994
derived-ordinary-013,Derived ordinary reshuffle cluster (1995-06-26),1995-06-26,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 15.,1995
faf9e78b-46cb-4774-8760-f2288e1e9c82,1997 general election,1997-05-01,election_formation,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",1997
derived-ordinary-014,Derived ordinary reshuffle cluster (1998-07-27),1998-07-27,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,1998
derived-ordinary-015,Derived ordinary reshuffle cluster (1999-07-01),1999-07-01,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,1999
derived-ordinary-016,Derived ordinary reshuffle cluster (1999-10-10),1999-10-10,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,1999
68ddf8bf-eb3b-4b6a-a95f-6fb6898ea08d,2001 general election,2001-06-07,election_formation,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",2001
derived-ordinary-017,Derived ordinary reshuffle cluster (2002-05-28),2002-05-28,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,2002
derived-ordinary-018,Derived ordinary reshuffle cluster (2002-10-24),2002-10-24,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,2002
derived-ordinary-019,Derived ordinary reshuffle cluster (2003-06-12),2003-06-12,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 5.,2003
2ac3ea62-fbc9-4376-a8fe-a59a8da57a58,2005 general election,2005-05-05,election_formation,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",2005
derived-ordinary-020,Derived ordinary reshuffle cluster (2006-05-05),2006-05-05,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 11.,2006
3914089b-2ac4-483c-ab92-35f3cf5787ce,Brown government formation complete,2007-06-27,new_pm_reshuffle,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",2007
derived-ordinary-021,Derived ordinary reshuffle cluster (2008-01-24),2008-01-24,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,2008
derived-ordinary-022,Derived ordinary reshuffle cluster (2008-10-03),2008-10-03,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 6.,2008
derived-ordinary-023,Derived ordinary reshuffle cluster (2009-06-02),2009-06-02,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 12.,2009
25e7354d-1944-454d-9041-6c3dfac6ee8a,2010 general election,2010-05-06,election_formation,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",2010
derived-ordinary-024,Derived ordinary reshuffle cluster (2012-09-04),2012-09-04,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 10.,2012
derived-ordinary-025,Derived ordinary reshuffle cluster (2014-07-15),2014-07-15,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 8.,2014
fd898c43-1f7c-4274-8297-229a701cbca9,2015 general election,2015-05-07,election_formation,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",2015
4c1e87b9-4766-4c0a-9141-d8d83020182c,May government formation complete,2016-07-13,new_pm_reshuffle,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",2016
fc1115df-3f7d-40a6-a8ac-ed53322a24ce,2017 general election,2017-06-08,election_formation,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",2017
derived-ordinary-026,Derived ordinary reshuffle cluster (2018-01-08),2018-01-08,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 10.,2018
derived-ordinary-027,Derived ordinary reshuffle cluster (2018-04-29),2018-04-29,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,2018
derived-ordinary-028,Derived ordinary reshuffle cluster (2018-07-08),2018-07-08,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 5.,2018
fdaf1c72-5360-48e2-b791-469da8818fe8,Johnson government formation complete,2019-07-24,new_pm_reshuffle,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",2019
585123d6-e348-4691-aed7-8144e01bd3b8,2019 general election,2019-12-12,election_formation,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",2019
derived-ordinary-029,Derived ordinary reshuffle cluster (2020-01-31),2020-01-31,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 9.,2020
derived-ordinary-030,Derived ordinary reshuffle cluster (2020-09-02),2020-09-02,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,2020
derived-ordinary-031,Derived ordinary reshuffle cluster (2021-09-10),2021-09-10,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 9.,2021
derived-ordinary-032,Derived ordinary reshuffle cluster (2022-07-05),2022-07-05,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 7.,2022
18a19f9b-1b9a-451b-9285-4946620b6637,Truss government formation complete,2022-09-06,new_pm_reshuffle,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",2022
8eb03a6f-7d40-47d4-96d2-060b74b8957a,Sunak government formation complete,2022-10-25,new_pm_reshuffle,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",2022
derived-ordinary-033,Derived ordinary reshuffle cluster (2023-02-07),2023-02-07,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 8.,2023
derived-ordinary-034,Derived ordinary reshuffle cluster (2023-11-13),2023-11-13,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,2023
24dbdaa3-470e-4a48-a97e-b8e77b894608,2024 general election,2024-07-04,election_formation,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",2024
derived-ordinary-035,Derived ordinary reshuffle cluster (2025-09-05),2025-09-05,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 10.,2025
